"vacina_dataaplicacao","paciente_endereco_nmmunicipio","_col2"
"2021-03-29","RIBEIRAO PRETO","1351"
"2021-07-15","ACAILANDIA","368"
"2021-10-09","RIBEIRAO PRETO","5"
"2021-06-27","JUNDIAI","35"
"2021-01-19","MARINGA","27"
"2021-04-19","PETROLINA","256"
"2021-07-03","FEIRA DE SANTANA","174"
"2021-06-06","ACAILANDIA","9"
"2021-02-21","ACAILANDIA","8"
"2021-09-29","DIVINOPOLIS","4"
"2021-09-04","PETROLINA","1020"
"2021-10-02","DIVINOPOLIS","4"
"2021-03-21","SANTA LUZIA","1"
"2021-08-04","NITEROI","7285"
"2021-08-04","RIBEIRAO PRETO","3656"
"2021-07-20","MARINGA","1143"
"2021-07-23","FEIRA DE SANTANA","1396"
"2021-05-15","PETROLINA","241"
"2021-04-27","ACAILANDIA","154"
"2021-05-12","FEIRA DE SANTANA","844"
"2021-07-01","ACAILANDIA","182"
"2021-01-25","RIBEIRAO PRETO","1332"
"2021-05-10","ACAILANDIA","215"
"2021-05-05","DIVINOPOLIS","656"
"2021-08-05","MARINGA","712"
"2021-10-13","RIBEIRAO PRETO","13"
"2021-07-27","SANTA MARIA","2800"
"2021-03-30","DIVINOPOLIS","485"
"2021-01-29","PETROLINA","165"
"2021-08-07","RIBEIRAO PRETO","224"
"2021-02-01","SANTA LUZIA","121"
"2021-04-12","ACAILANDIA","144"
"2021-02-25","JUNDIAI","37"
"2021-02-04","SANTA LUZIA","202"
"2021-10-13","JUNDIAI","9"
"2021-09-04","JUNDIAI","3578"
"2021-05-31","FEIRA DE SANTANA","331"
"2021-04-30","ACAILANDIA","105"
"2021-09-26","SANTA MARIA","5"
"2021-09-28","JUNDIAI","9"
"2021-06-05","ACAILANDIA","20"
"2021-02-21","DIVINOPOLIS","1"
"2021-01-18","SANTA LUZIA","2"
"2021-09-17","NITEROI","7165"
"2021-08-25","JUNDIAI","1302"
"2021-08-26","SANTA LUZIA","1115"
"2021-03-24","MARINGA","1290"
"2021-03-27","SANTA LUZIA","74"
"2021-05-04","RIBEIRAO PRETO","624"
"2021-03-19","SANTA LUZIA","144"
"2021-08-26","PETROLINA","1259"
"2021-10-15","JUNDIAI","4"
"2021-01-31","ACAILANDIA","32"
"2021-09-05","PETROLINA","917"
"2021-05-09","RIBEIRAO PRETO","11"
,"RIBEIRAO PRETO","1"
"2021-01-18","PETROLINA","1"
"2021-05-21","NITEROI","4218"
"2021-06-21","NITEROI","6400"
"2021-05-24","NITEROI","3913"
"2021-02-11","NITEROI","3196"
"2021-07-17","NITEROI","1337"
"2021-07-06","FEIRA DE SANTANA","5627"
"2021-03-31","DIVINOPOLIS","570"
"2021-06-25","PETROLINA","407"
"2021-08-12","DIVINOPOLIS","1063"
"2021-05-26","SANTA MARIA","867"
"2021-04-09","SANTA MARIA","3842"
"2021-08-12","SANTA MARIA","3371"
"2021-07-10","PETROLINA","341"
"2021-02-28","SANTA MARIA","11"
"2021-06-19","DIVINOPOLIS","812"
"2021-01-27","JUNDIAI","176"
"2021-08-24","SANTA LUZIA","851"
"2021-04-09","DIVINOPOLIS","1051"
"2021-05-24","ACAILANDIA","78"
"2021-02-27","SANTA LUZIA","5"
"2021-09-03","ACAILANDIA","539"
"2021-03-14","SANTA LUZIA","5"
"2021-03-29","NITEROI","7451"
"2021-02-04","NITEROI","1632"
"2021-10-04","FEIRA DE SANTANA","6"
"2021-04-26","SANTA LUZIA","730"
"2021-08-23","JUNDIAI","1341"
"2021-08-20","DIVINOPOLIS","1216"
"2021-07-13","FEIRA DE SANTANA","687"
"2021-06-29","RIBEIRAO PRETO","2751"
"2021-05-21","MARINGA","1548"
"2021-08-12","RIBEIRAO PRETO","5681"
"2021-05-29","JUNDIAI","2906"
"2021-04-21","RIBEIRAO PRETO","3468"
"2021-03-01","SANTA MARIA","619"
"2021-07-13","ACAILANDIA","160"
"2021-03-11","JUNDIAI","626"
"2021-09-11","MARINGA","1972"
"2021-04-18","MARINGA","38"
"2021-06-12","FEIRA DE SANTANA","83"
"2021-01-27","SANTA LUZIA","110"
"2021-01-25","MARINGA","95"
"2021-02-04","PETROLINA","51"
"2021-02-21","SANTA MARIA","10"
"2021-09-05","SANTA LUZIA","10"
"2021-06-13","JUNDIAI","12"
"2021-09-19","JUNDIAI","17"
"2021-07-23","NITEROI","6363"
"2021-04-08","NITEROI","6863"
"2021-03-06","RIBEIRAO PRETO","2670"
"2021-05-11","DIVINOPOLIS","709"
"2021-07-06","SANTA MARIA","5190"
"2021-01-29","RIBEIRAO PRETO","1092"
"2021-04-03","JUNDIAI","1280"
"2021-03-25","PETROLINA","606"
"2021-02-22","RIBEIRAO PRETO","467"
"2021-07-17","DIVINOPOLIS","638"
"2021-04-21","PETROLINA","123"
"2021-05-04","SANTA MARIA","964"
"2021-02-27","SANTA MARIA","147"
"2021-08-14","PETROLINA","851"
"2021-05-15","RIBEIRAO PRETO","230"
"2021-02-20","FEIRA DE SANTANA","14"
"2021-09-30","FEIRA DE SANTANA","7"
"2021-02-17","NITEROI","1207"
"2021-10-06","NITEROI","4189"
"2021-07-31","NITEROI","1277"
"2021-08-26","RIBEIRAO PRETO","594"
"2021-07-16","ACAILANDIA","1339"
"2021-08-04","SANTA MARIA","842"
"2021-04-08","DIVINOPOLIS","913"
"2021-01-21","SANTA LUZIA","398"
"2021-07-18","PETROLINA","676"
"2021-06-23","SANTA LUZIA","664"
"2021-01-21","PETROLINA","897"
"2021-04-20","JUNDIAI","896"
"2021-07-29","PETROLINA","938"
"2021-02-22","SANTA MARIA","826"
"2021-06-21","SANTA MARIA","425"
"2021-09-28","SANTA MARIA","1135"
"2021-09-01","ACAILANDIA","738"
"2021-01-19","FEIRA DE SANTANA","249"
"2021-09-27","DIVINOPOLIS","7"
"2021-02-08","JUNDIAI","356"
"2021-08-17","FEIRA DE SANTANA","341"
"2021-08-24","DIVINOPOLIS","1311"
"2021-01-23","ACAILANDIA","14"
"2021-10-08","RIBEIRAO PRETO","10"
"2021-02-07","JUNDIAI","11"
"2021-10-06","DIVINOPOLIS","1"
"2021-01-28","NITEROI","4181"
"2021-09-07","NITEROI","1218"
"2021-03-08","NITEROI","3835"
"2021-04-22","MARINGA","27643"
"2021-07-22","FEIRA DE SANTANA","3996"
"2021-07-23","SANTA LUZIA","1610"
"2021-08-03","SANTA LUZIA","690"
"2021-05-26","RIBEIRAO PRETO","1920"
"2021-05-11","FEIRA DE SANTANA","2579"
"2021-01-22","SANTA LUZIA","252"
"2021-06-12","PETROLINA","704"
"2021-04-16","PETROLINA","247"
"2021-07-04","PETROLINA","237"
"2021-06-04","FEIRA DE SANTANA","1144"
"2021-02-27","FEIRA DE SANTANA","68"
"2021-07-16","SANTA MARIA","1075"
"2021-07-07","SANTA MARIA","1132"
"2021-08-13","PETROLINA","1489"
"2021-02-26","SANTA LUZIA","254"
"2021-03-28","NITEROI","34"
"2021-09-30","JUNDIAI","8"
"2021-06-20","FEIRA DE SANTANA","40"
"2021-07-04","SANTA LUZIA","8"
"2021-08-08","DIVINOPOLIS","2"
"2021-08-26","JUNDIAI","1039"
"2021-04-09","JUNDIAI","249"
"2021-08-11","RIBEIRAO PRETO","7682"
"2021-03-10","JUNDIAI","676"
"2021-03-17","FEIRA DE SANTANA","946"
"2021-03-01","RIBEIRAO PRETO","1134"
"2021-06-29","ACAILANDIA","1328"
"2021-04-26","FEIRA DE SANTANA","1618"
"2021-03-26","SANTA LUZIA","211"
"2021-02-20","SANTA MARIA","345"
"2021-06-07","SANTA MARIA","580"
"2021-08-14","DIVINOPOLIS","442"
"2021-02-22","SANTA LUZIA","104"
"2021-06-18","ACAILANDIA","94"
"2021-04-22","PETROLINA","142"
"2021-07-19","ACAILANDIA","106"
"2021-05-02","ACAILANDIA","3"
"2021-02-28","RIBEIRAO PRETO","11"
"2021-10-02","MARINGA","4"
"2021-09-18","DIVINOPOLIS","56"
"2021-10-08","SANTA LUZIA","3"
"2021-09-01","NITEROI","10180"
"2021-09-25","NITEROI","732"
"2021-09-29","JUNDIAI","8"
"2021-08-28","FEIRA DE SANTANA","107"
"2021-03-31","JUNDIAI","943"
"2021-05-20","SANTA LUZIA","845"
"2021-02-17","SANTA LUZIA","201"
"2021-02-16","RIBEIRAO PRETO","358"
"2021-03-11","SANTA MARIA","2670"
"2021-02-09","JUNDIAI","400"
"2021-06-10","FEIRA DE SANTANA","347"
"2021-10-14","NITEROI","4941"
"2021-05-06","DIVINOPOLIS","862"
"2021-09-22","FEIRA DE SANTANA","122"
"2021-08-13","MARINGA","2128"
"2021-06-12","SANTA LUZIA","321"
"2021-07-11","MARINGA","67"
"2021-10-15","MARINGA","10"
"2021-10-13","SANTA MARIA","2"
"2021-10-02","PETROLINA","1"
"2021-02-18","MARINGA","333"
"2021-10-09","NITEROI","366"
"2021-08-18","RIBEIRAO PRETO","8690"
"2021-06-08","PETROLINA","823"
"2021-05-13","MARINGA","466"
"2021-06-16","RIBEIRAO PRETO","3732"
"2021-03-12","MARINGA","1440"
"2021-06-14","PETROLINA","802"
"2021-05-31","JUNDIAI","1086"
"2021-07-26","JUNDIAI","1371"
"2021-01-28","FEIRA DE SANTANA","769"
"2021-07-27","MARINGA","1498"
"2021-03-17","SANTA MARIA","424"
"2021-03-18","PETROLINA","340"
"2021-04-03","ACAILANDIA","40"
"2021-09-21","RIBEIRAO PRETO","541"
"2021-06-19","SANTA LUZIA","79"
"2021-03-06","SANTA MARIA","79"
"2021-03-25","SANTA LUZIA","255"
"2021-02-10","PETROLINA","143"
"2021-10-01","PETROLINA","1"
"2021-10-13","ACAILANDIA","1"
"2021-02-20","ACAILANDIA","40"
"2021-03-11","ACAILANDIA","52"
"2021-09-18","ACAILANDIA","28"
"2021-02-14","FEIRA DE SANTANA","6"
"2021-01-17","JUNDIAI","1"
"2021-07-14","NITEROI","7883"
"2021-06-09","NITEROI","4232"
"2021-08-24","SANTA MARIA","4503"
"2021-05-17","DIVINOPOLIS","452"
"2021-06-14","RIBEIRAO PRETO","2182"
"2021-04-25","PETROLINA","580"
"2021-03-24","DIVINOPOLIS","403"
"2021-07-15","DIVINOPOLIS","483"
"2021-06-12","RIBEIRAO PRETO","160"
"2021-04-03","FEIRA DE SANTANA","550"
"2021-07-05","DIVINOPOLIS","82"
"2021-07-19","DIVINOPOLIS","704"
"2021-03-18","SANTA LUZIA","177"
"2021-05-11","SANTA MARIA","3475"
"2021-07-01","RIBEIRAO PRETO","2620"
"2021-06-20","SANTA MARIA","11"
"2021-08-31","MARINGA","2270"
"2021-07-25","PETROLINA","404"
"2021-02-12","SANTA MARIA","218"
"2021-05-06","ACAILANDIA","161"
"2021-01-30","NITEROI","47"
"2021-10-13","FEIRA DE SANTANA","17"
"2021-03-08","ACAILANDIA","27"
"2021-01-17","FEIRA DE SANTANA","2"
"2021-05-09","PETROLINA","11"
"2021-09-12","SANTA MARIA","3"
"2021-01-20","NITEROI","2291"
"2021-02-24","NITEROI","1244"
"2021-08-20","RIBEIRAO PRETO","1894"
"2021-06-07","JUNDIAI","1322"
"2021-04-24","JUNDIAI","3069"
"2021-07-09","ACAILANDIA","880"
"2021-07-01","FEIRA DE SANTANA","3508"
"2021-04-20","SANTA MARIA","5525"
"2021-04-19","DIVINOPOLIS","766"
"2021-07-08","DIVINOPOLIS","1256"
"2021-06-08","DIVINOPOLIS","559"
"2021-08-05","SANTA LUZIA","1269"
"2021-09-25","FEIRA DE SANTANA","9"
"2021-08-11","ACAILANDIA","247"
"2021-08-19","RIBEIRAO PRETO","2520"
"2021-05-02","NITEROI","10"
"2021-05-08","PETROLINA","198"
"2021-07-25","FEIRA DE SANTANA","32"
"2021-09-04","RIBEIRAO PRETO","160"
"2021-09-29","SANTA LUZIA","9"
"2021-09-28","RIBEIRAO PRETO","14"
"2021-01-31","NITEROI","4"
"2021-06-03","DIVINOPOLIS","35"
"2021-02-10","ACAILANDIA","14"
"2021-02-16","ACAILANDIA","52"
"2021-06-12","ACAILANDIA","55"
"2021-04-21","NITEROI","10635"
"2021-06-29","NITEROI","6777"
"2021-09-02","NITEROI","7860"
"2021-03-31","NITEROI","8374"
"2021-03-17","NITEROI","1011"
"2021-05-03","NITEROI","5393"
"2021-05-06","MARINGA","334"
"2021-08-23","MARINGA","2915"
"2021-07-30","RIBEIRAO PRETO","2038"
"2021-01-21","SANTA MARIA","1705"
"2021-02-11","RIBEIRAO PRETO","1260"
"2021-07-22","SANTA MARIA","3581"
"2021-05-07","PETROLINA","463"
"2021-09-07","SANTA MARIA","12"
"2021-09-15","SANTA MARIA","1835"
"2021-09-28","SANTA LUZIA","9"
"2021-01-23","SANTA LUZIA","74"
"2021-10-03","NITEROI","3"
"2021-06-13","SANTA MARIA","14"
"2021-04-04","PETROLINA","3"
"2021-09-24","RIBEIRAO PRETO","538"
"2021-09-29","RIBEIRAO PRETO","13"
"2021-07-25","MARINGA","35"
"2021-05-09","JUNDIAI","16"
"2021-07-04","RIBEIRAO PRETO","23"
"2021-07-02","RIBEIRAO PRETO","3895"
"2021-03-26","DIVINOPOLIS","484"
"2021-05-13","SANTA LUZIA","581"
"2021-04-13","RIBEIRAO PRETO","1789"
"2021-05-13","FEIRA DE SANTANA","1784"
"2021-04-19","SANTA LUZIA","600"
"2021-06-24","SANTA MARIA","4704"
"2021-05-17","PETROLINA","422"
"2021-07-06","JUNDIAI","1912"
"2021-02-04","SANTA MARIA","1325"
"2021-05-12","JUNDIAI","1084"
"2021-06-16","FEIRA DE SANTANA","441"
"2021-07-09","FEIRA DE SANTANA","476"
"2021-06-30","RIBEIRAO PRETO","2476"
"2021-01-28","SANTA MARIA","394"
"2021-09-14","MARINGA","3664"
"2021-04-29","ACAILANDIA","193"
"2021-01-30","FEIRA DE SANTANA","58"
"2021-09-20","JUNDIAI","320"
"2021-08-02","DIVINOPOLIS","723"
"2021-09-15","DIVINOPOLIS","1425"
"2021-05-16","ACAILANDIA","7"
"2021-06-26","ACAILANDIA","40"
,"ACAILANDIA","4"
"2021-04-04","SANTA LUZIA","4"
"2021-05-31","NITEROI","5177"
"2021-08-28","PETROLINA","819"
"2021-07-09","DIVINOPOLIS","1395"
"2021-05-28","PETROLINA","735"
"2021-06-15","SANTA LUZIA","1660"
"2021-07-28","ACAILANDIA","343"
"2021-01-26","SANTA MARIA","989"
"2021-08-11","PETROLINA","1237"
"2021-04-26","PETROLINA","169"
"2021-02-11","DIVINOPOLIS","35"
"2021-10-04","JUNDIAI","8"
"2021-07-14","ACAILANDIA","460"
"2021-02-01","PETROLINA","104"
"2021-04-25","SANTA MARIA","14"
"2021-10-07","ACAILANDIA","1"
"2021-03-14","MARINGA","9"
"2021-06-27","SANTA LUZIA","4"
"2021-09-05","DIVINOPOLIS","2"
"2021-04-01","NITEROI","3028"
"2021-08-31","NITEROI","8108"
"2021-07-17","RIBEIRAO PRETO","1463"
"2021-05-20","DIVINOPOLIS","849"
"2021-07-14","SANTA LUZIA","1396"
"2021-04-20","DIVINOPOLIS","708"
"2021-08-17","MARINGA","1886"
"2021-05-27","MARINGA","1303"
"2021-07-21","FEIRA DE SANTANA","1053"
"2021-03-12","JUNDIAI","758"
"2021-04-29","SANTA LUZIA","784"
"2021-07-15","PETROLINA","386"
"2021-03-14","SANTA MARIA","28"
"2021-09-09","DIVINOPOLIS","1814"
"2021-02-05","JUNDIAI","517"
"2021-09-11","RIBEIRAO PRETO","6127"
"2021-09-13","SANTA MARIA","245"
"2021-02-02","JUNDIAI","215"
"2021-04-03","RIBEIRAO PRETO","53"
"2021-09-03","SANTA LUZIA","1049"
"2021-03-21","RIBEIRAO PRETO","11"
"2021-02-28","PETROLINA","68"
"2021-02-03","MARINGA","330"
"2021-04-10","ACAILANDIA","6"
"2021-04-19","NITEROI","10930"
"2021-06-17","SANTA MARIA","7932"
"2021-07-21","PETROLINA","1393"
"2021-08-07","SANTA LUZIA","879"
"2021-02-09","FEIRA DE SANTANA","196"
"2021-05-27","SANTA LUZIA","783"
"2021-07-24","SANTA MARIA","3305"
"2021-02-01","SANTA MARIA","508"
"2021-01-23","FEIRA DE SANTANA","58"
"2021-04-05","MARINGA","398"
"2021-03-08","JUNDIAI","429"
"2021-05-16","SANTA MARIA","11"
"2021-08-14","FEIRA DE SANTANA","270"
"2021-05-01","JUNDIAI","147"
"2021-01-31","JUNDIAI","7"
"2021-10-04","SANTA MARIA","5"
"2021-05-30","MARINGA","14"
"2021-10-11","RIBEIRAO PRETO","2"
"2021-02-25","ACAILANDIA","39"
,"SANTA MARIA","1"
"2021-07-05","NITEROI","9219"
"2021-03-26","NITEROI","6211"
"2021-04-14","NITEROI","5522"
"2021-08-11","MARINGA","3332"
"2021-03-11","FEIRA DE SANTANA","1057"
"2021-08-07","PETROLINA","1398"
"2021-07-20","SANTA MARIA","4861"
"2021-09-01","SANTA LUZIA","1661"
"2021-09-01","FEIRA DE SANTANA","181"
"2021-01-28","JUNDIAI","585"
"2021-05-28","ACAILANDIA","116"
"2021-09-13","JUNDIAI","1316"
"2021-05-03","PETROLINA","329"
"2021-08-16","DIVINOPOLIS","719"
"2021-02-08","ACAILANDIA","36"
"2020-03-23","RIBEIRAO PRETO","28"
"2021-06-26","SANTA LUZIA","80"
"2021-10-05","JUNDIAI","4"
"2021-01-19","PETROLINA","39"
"2021-09-11","FEIRA DE SANTANA","45"
"2021-02-09","ACAILANDIA","8"
"2021-08-25","NITEROI","5941"
"2021-09-04","NITEROI","1151"
"2021-09-17","MARINGA","4790"
"2021-07-02","FEIRA DE SANTANA","980"
"2021-02-25","PETROLINA","375"
"2021-03-27","DIVINOPOLIS","407"
"2021-03-15","FEIRA DE SANTANA","560"
"2021-06-29","SANTA MARIA","5523"
"2021-05-14","SANTA LUZIA","504"
"2021-05-05","JUNDIAI","395"
"2021-09-20","SANTA LUZIA","614"
"2021-08-15","SANTA MARIA","17"
"2021-06-23","ACAILANDIA","86"
"2021-09-04","DIVINOPOLIS","615"
"2021-03-07","MARINGA","3"
"2021-09-07","MARINGA","29"
"2021-02-18","NITEROI","2894"
"2021-05-15","MARINGA","266"
"2021-07-26","NITEROI","7600"
"2021-07-03","NITEROI","2286"
"2021-02-17","MARINGA","447"
"2021-02-26","MARINGA","81"
"2021-03-22","MARINGA","867"
"2021-07-21","SANTA MARIA","5287"
"2021-01-22","MARINGA","124"
"2021-07-06","SANTA LUZIA","1108"
"2021-07-20","ACAILANDIA","154"
"2021-07-11","PETROLINA","518"
"2021-07-04","MARINGA","73"
"2021-06-23","SANTA MARIA","457"
"2021-03-05","ACAILANDIA","105"
"2021-06-21","FEIRA DE SANTANA","1111"
"2021-07-31","SANTA LUZIA","436"
"2021-02-11","JUNDIAI","228"
"2021-06-06","SANTA LUZIA","3"
"2021-03-22","SANTA LUZIA","139"
"2021-09-21","SANTA LUZIA","1044"
"2021-07-25","RIBEIRAO PRETO","30"
"2021-10-13","DIVINOPOLIS","4"
"2021-08-15","ACAILANDIA","15"
"2021-04-18","SANTA LUZIA","2"
"2021-09-19","DIVINOPOLIS","3"
"2021-09-09","NITEROI","7745"
"2021-04-17","NITEROI","1592"
"2021-02-08","NITEROI","1030"
"2021-06-26","NITEROI","1735"
"2021-02-22","MARINGA","194"
"2021-08-03","PETROLINA","1330"
"2021-04-28","SANTA LUZIA","726"
"2021-07-13","RIBEIRAO PRETO","2947"
"2021-07-22","ACAILANDIA","183"
"2021-02-10","RIBEIRAO PRETO","486"
"2021-09-21","PETROLINA","763"
"2021-09-13","FEIRA DE SANTANA","224"
"2021-08-21","SANTA LUZIA","132"
"2021-09-22","ACAILANDIA","544"
"2021-08-01","NITEROI","36"
"2021-05-29","DIVINOPOLIS","12"
"2021-04-10","RIBEIRAO PRETO","74"
"2021-07-18","RIBEIRAO PRETO","21"
"2021-03-21","NITEROI","27"
"2021-06-27","RIBEIRAO PRETO","33"
"2021-02-27","ACAILANDIA","13"
"2021-07-03","DIVINOPOLIS","41"
"2021-09-19","NITEROI","11"
"2021-10-03","SANTA MARIA","2"
"2021-03-20","ACAILANDIA","4"
"2021-07-28","NITEROI","8285"
"2021-05-13","NITEROI","2992"
"2021-04-24","NITEROI","1179"
"2021-03-02","NITEROI","2384"
"2021-05-14","NITEROI","5110"
"2021-08-25","SANTA LUZIA","1536"
"2021-08-25","PETROLINA","1125"
"2021-06-29","FEIRA DE SANTANA","2409"
"2021-07-10","FEIRA DE SANTANA","701"
"2021-06-01","SANTA LUZIA","566"
"2021-04-08","SANTA LUZIA","342"
"2021-04-14","ACAILANDIA","186"
"2021-03-19","JUNDIAI","504"
"2021-01-19","NITEROI","131"
"2021-04-12","RIBEIRAO PRETO","1753"
"2021-04-19","JUNDIAI","622"
"2021-02-15","PETROLINA","178"
"2021-06-19","RIBEIRAO PRETO","250"
"2021-01-24","NITEROI","118"
"2021-03-06","MARINGA","32"
"2021-10-01","SANTA MARIA","126"
"2021-01-23","DIVINOPOLIS","5"
"2021-04-16","NITEROI","10232"
"2021-04-29","RIBEIRAO PRETO","3245"
"2021-08-09","SANTA MARIA","1386"
"2021-08-05","JUNDIAI","3133"
"2021-05-28","RIBEIRAO PRETO","2085"
"2021-07-26","MARINGA","3206"
"2021-06-29","DIVINOPOLIS","1046"
"2021-05-18","JUNDIAI","900"
"2021-02-04","FEIRA DE SANTANA","201"
"2021-10-04","RIBEIRAO PRETO","13"
"2021-03-02","SANTA LUZIA","115"
"2021-04-24","MARINGA","160"
"2021-09-22","SANTA MARIA","2431"
"2021-09-27","SANTA MARIA","327"
"2021-09-02","SANTA MARIA","4082"
"2021-09-01","PETROLINA","1086"
"2021-04-02","FEIRA DE SANTANA","161"
"2021-10-01","FEIRA DE SANTANA","9"
"2021-05-14","PETROLINA","478"
"2021-07-04","NITEROI","18"
"2021-04-17","SANTA LUZIA","145"
"2021-07-28","PETROLINA","150"
